site,visit1,visit2,visit3,Native,PatchSize,temp1,temp2,temp3,wind1,wind2,wind3,Obs1,Obs2,Obs3
1,0,0,0,-1.156,1.825,-1.761,0.31,1.381,-0.506,-0.506,-0.506,Tina,Jim,Tina
2,0,0,0,-0.501,1.629,-2.904,-1.047,0.596,-0.934,-0.991,-1.162,Fred,Jim,Jim
3,0,0,0,-0.101,1.459,-1.69,-0.476,1.453,-1.136,-1.339,-1.61,Tina,Bill,Bill
4,0,0,0,0.008,1.686,-2.19,-0.69,1.239,-0.819,-0.927,-1.197,Fred,Bill,Tina
5,0,0,0,-1.193,1.281,-1.833,0.167,1.381,0.638,0.88,1.042,Jim,Tina,Bill
6,0,0,0,0.917,1.808,-2.619,0.167,1.381,-1.329,-1.042,-0.899,Tina,Fred,Fred
7,0,0,0,-1.083,1.629,-2.69,-1.19,1.596,-1.448,-1.562,-1.676,Fred,Jim,Bill
8,0,0,0,-0.792,1.308,-2.119,-0.476,1.453,-0.321,-0.557,-0.636,Tina,Tina,Jim
9,1,1,0,0.553,1.335,-2.047,-0.547,1.167,-0.231,-0.231,-0.001,Jim,Fred,Jim
10,0,0,1,0.808,2.041,-2.333,-1.119,-0.261,-1.097,-1.021,-0.832,Tina,Bill,Bill
11,0,0,0,1.79,1.131,-1.69,0.453,1.453,-0.224,0.058,-0.224,Fred,Bill,Bill
12,0,0,0,-0.647,1.482,-1.833,-0.333,1.953,0.417,0.284,0.549,Fred,Fred,Bill
13,0,0,0,0.844,1.792,-0.904,1.096,1.239,-1.354,-1.014,-1.159,Jim,Bill,Fred
14,0,0,0,-0.32,1.825,-2.547,-0.261,1.31,-1.117,-0.224,-0.788,Bill,Bill,Bill
15,1,0,0,-0.101,1.808,-1.333,0.31,1.524,-0.278,-0.182,0.009,Bill,Fred,Jim
16,1,1,0,1.135,1.504,-1.833,-1.047,0.524,-0.483,-0.884,-0.819,Fred,Bill,Tina
17,0,0,0,0.372,1.825,-2.333,-0.976,2.31,-1.07,-1.258,-1.211,Jim,Fred,Tina
18,1,1,1,-0.138,1.932,-2.404,-0.833,0.667,-1.115,-0.735,-0.482,Jim,Bill,Bill
19,0,0,0,-0.974,1.526,-1.333,-0.261,1.524,-0.862,-1.115,-0.988,Fred,Tina,Bill
20,0,1,0,1.572,1.308,0.024,1.524,3.239,-0.242,-0.242,-0.399,Bill,Tina,Fred
21,0,0,0,0.081,1.74,-1.69,-0.261,1.596,-0.462,-0.615,-0.462,Tina,Jim,Fred
22,0,0,0,-0.611,1.386,-1.976,-0.476,1.239,-0.358,-0.212,0.735,Tina,Tina,Fred
23,1,1,1,0.699,1.705,-0.476,0.596,1.667,0.417,0.682,0.639,Tina,Bill,Jim
